,name,time,perc
3149,vilmu,457.57533333333316,0.005802013050800421
3150,gamesquire,457.54078333333337,0.005801574959984984
3151,Calthepal312,457.2564333333333,0.005797969428194235
3152,Hoangdus,457.19264999999996,0.005797160661406639
3153,BloodedManiac,457.173,0.0057969115012178295
3154,Zig899,456.8114833333333,0.005792327503206394
3155,JeubenRames,456.5320333333334,0.005788784102964003
3156,LeolasFires,456.4906166666667,0.005788258943448147
3157,Tom1t,455.68556666666666,0.0057780509836516235
3158,themachine62,455.5927999999999,0.005776874710868825
3159,catman_batman123,455.53678333333346,0.005776164424698692
3160,biggi107,455.4107666666667,0.00577456654498063
3161,GatBa_,455.0699166666667,0.00577024459839763
3162,MISTER_DJM,455.0333833333334,0.0057697813590983325
3163,SPatryk3267,454.9817666666667,0.005769126864522636
3164,Amphire,454.7924,0.005766725712643703
3165,realEBN,454.6244000000001,0.005764595488128686
3166,ImGyraa,454.1496333333333,0.005758575490555785
3167,2GE,454.0007166666667,0.0057566872409484755
3168,seizure_slayer95,453.80453333333344,0.00575419965436452
3169,DEADHAWK45,453.5659666666666,0.005751174651020472
3170,garfunqle,453.5522,0.005751000090956048
3171,LZGM,453.50646666666665,0.005750420196504737
3172,ivyavian,452.9002666666667,0.005742733636379713
3173,cantdance,452.8970666666667,0.005742693060674665
3174,ReDamage,452.87084999999996,0.005742360635757786
3175,gustym,452.58598333333344,0.00573874855268133
3176,Aina_,452.4503833333334,0.005737029157179921
3177,mario4ever2,452.42453333333333,0.00573670138156258
3178,VetchMaster,452.1870333333333,0.005733689903453551
3179,WolfiePvP,452.10946666666666,0.005732706365269731
3180,adoob04,451.9842500000001,0.005731118629477934
3181,EvanCraftMC,451.9520666666668,0.005730710547777685
3182,UvaUrsi,451.7576333333333,0.005728245151032425
3183,AddisonDj,451.7007833333334,0.005727524298272434
3184,xIntegral,451.61681666666664,0.005726459608678517
3185,emcbutterchic88,451.39545,0.005723652699749105
3186,N3R1,451.34826666666675,0.005723054419431445
3187,Orbus,451.24321666666657,0.005721722395114166
3188,CorJkl,451.15430000000003,0.005720594939976506
3189,Glixe,451.14495,0.005720476382838319
3190,Digimacska17,451.12586666666675,0.005720234407930611
3191,DarthRader,450.9709666666667,0.005718270290208132
3192,urtnitram,450.8805333333333,0.005717123603876932
3193,AlexEnki,450.82519999999994,0.005716421982310477
3194,666skylines,450.81628333333333,0.005716308919799016
3195,broken_ayro,450.7528,0.005715503956983767
3196,slimething,450.31959999999987,0.0057100110209128965
3197,Umicol,449.73673333333335,0.0057026203253038475
3198,Vinscherooni,449.6995666666666,0.005702149055396259
3199,Spleckk,449.4666166666666,0.005699195270867844
3200,MaraBonbon,449.46135,0.005699128490019953
3201,tailopezxd,449.45388333333335,0.005699033813374842
3202,kutinternet,449.3981833333333,0.00569832754250885
3203,GopnikTrashMan,449.30471666666676,0.005697142393790575
3204,floba,449.25230000000005,0.005696477755288617
3205,Harveytj03,449.1498333333334,0.005695178487399893
3206,Viktor951,448.8825,0.00569178872537401
3207,Amp__,448.7413,0.005689998322388769
3208,ErdenX,448.67524999999995,0.005689160814476762
3209,Tannar,448.5155833333334,0.0056871362558603075
3210,PRThoma5,448.48035000000004,0.005686689500441185
3211,FlamyScars,448.2303166666667,0.005683519100820718
3212,wwebpy,448.2186166666669,0.0056833707458991385
3213,bullen666,448.0632500000001,0.005681400710886339
3214,CyberPolaris,448.00671666666665,0.00568068387343049
3215,___Nugato___,447.9167666666666,0.005679543315721406
3216,Hazal,447.64236666666665,0.005676063949013543
3217,thebigcon,447.5367833333334,0.005674725162078759
3218,Tinfoilnz,447.4773333333334,0.005673971341558413
3219,YogurtHero,447.40213333333327,0.0056730178124897845
3220,alexwaifuravager,447.13798333333335,0.005669668414837154
3221,Somoni123,446.7219,0.005664392516521932
3222,wjec,446.56206666666657,0.005662365844587503
3223,4thMonado,446.38346666666666,0.0056601012130495145
3224,Brezzly,445.7446999999999,0.005652001710592906
3225,Lsuvsfar,445.72528333333327,0.0056517555090492555
3226,V0RTAX,445.71458333333345,0.005651619834035504
3227,altto,445.47888333333333,0.005648631179760563
3228,Abrikosas,445.34520000000003,0.0056469360874158245
3229,87w,445.3170666666667,0.005646579359342278
3230,MtnL,445.15335000000005,0.00564450344709912
3231,iCEiy,444.90400000000005,0.005641341712082335
3232,Cyberstar413,444.8711,0.00564092454311481
3233,Debakesta,444.8346999999999,0.005640462994469888
3234,Influca,444.5819333333333,0.005637257936434694
3235,Wendelc,444.1283666666667,0.005631506752907738
3236,all1993,443.5451333333334,0.005624111407999151
3237,brack92,443.44085,0.0056227891049445405
3238,projacti__,443.38641666666666,0.00562209889529513
3239,creepersteve82,443.25645000000003,0.005620450929941152
3240,James10898,443.0455333333334,0.005617776526048537
3241,KirbyClan,443.03276666666665,0.005617614645891938
3242,eyelll,442.8078833333334,0.005614763145953334
3243,Luketheplumber,442.66499999999996,0.00561295139845658
3244,TheLeg3nd413,442.5960666666666,0.005612077330143672
3245,DJJD88,442.53315,0.005611279552609525
3246,Dofr,442.23994999999985,0.005607561803634504
3247,OMY69,442.20193333333333,0.005607079755805264
3248,thrillet,442.0753833333334,0.005605475113469695
3249,scu_ba,441.8935833333333,0.005603169906226656
3250,Crowing,441.81355,0.005602155090936863
3251,godnopleaseno,441.67215000000004,0.0056003621519700566
3252,IcyPigsGaming,441.3745666666667,0.005596588822732391
3253,Kon1x,440.8212833333333,0.0055895732410632375
3254,Tambo1976,440.4757000000001,0.005585191276249854
3255,sharp180,440.43510000000003,0.005584676471992058
3256,ZerpPickle,440.4043166666666,0.005584286142162767
3257,alphapanda52,440.2902833333334,0.0055828402100068395
3258,ToffiMla,440.07486666666665,0.005580108746529
3259,ExodusCDrake,439.6920999999999,0.00557525530047623
3260,luke69420,439.46958333333333,0.005572433809652817
3261,KrzShip,439.3959666666667,0.005571500357104917
3262,Gavintino,439.17385,0.0055686839382446335
3263,th3m4d,439.03503333333333,0.005566923755706381
3264,Deathfishy,438.9749833333333,0.005566162327241339
3265,8d8a,438.91761666666685,0.005565434923195638
3266,SoulHeartRealm,438.7090166666666,0.005562789894422821
3267,Conradsboi,438.5725166666666,0.005561059087004368
3268,DiodomiPT,438.4517166666667,0.005559527354138808
3269,kirk_voetbal,438.17418333333336,0.005556008257053085
3270,IcirrusMage,438.0988666666667,0.0055550532486618774
3271,ProboMaster,437.92805000000004,0.005552887309073145
3272,CalIMeSnowyy,437.8667166666667,0.005552109608059725
3273,PhotoJuice,437.8493833333333,0.005551889822990715
3274,GSKSlv,437.80786666666677,0.005551363395484079
3275,Homeofthethefox,437.60396666666674,0.005548777962278053
3276,Kaimist,437.4806333333333,0.005547214106979327
3277,NinjaWillo360,437.1508666666667,0.005543032696041415
