,Killer,Num,Perc
299,SkippyJonJoe,5.0,0.009007223793482374
300,ps3eroom,5.0,0.009007223793482374
301,Doomguy34,5.0,0.009007223793482374
302,hopfroggiego,5.0,0.009007223793482374
303,turtlepig84,5.0,0.009007223793482374
304,jackdel11,5.0,0.009007223793482374
305,Quana,5.0,0.009007223793482374
306,Za_Zed,5.0,0.009007223793482374
307,lebruhmomento,5.0,0.009007223793482374
308,13I2,5.0,0.009007223793482374
309,TAEFED,5.0,0.009007223793482374
310,DuranGan,5.0,0.009007223793482374
311,pbuh,5.0,0.009007223793482374
312,Adelf_Tiller,5.0,0.009007223793482374
313,manu2107el,5.0,0.009007223793482374
314,christonFTW,5.0,0.009007223793482374
315,coolecorne123,5.0,0.009007223793482374
316,HyperReaperX,5.0,0.009007223793482374
317,TonyLongo,5.0,0.009007223793482374
318,Rimgal2005,4.0,0.007205779034785898
319,Kirschbert3,4.0,0.007205779034785898
320,CableNewsNetwork,4.0,0.007205779034785898
321,SoundWave1212,4.0,0.007205779034785898
322,GH0STM4NE,4.0,0.007205779034785898
323,alexero007,4.0,0.007205779034785898
324,TheFartTrain,4.0,0.007205779034785898
325,glowman434,4.0,0.007205779034785898
326,RoachClip,4.0,0.007205779034785898
327,HitMeMuffins,4.0,0.007205779034785898
328,SkywalkersBlade,4.0,0.007205779034785898
329,toa_st,4.0,0.007205779034785898
330,owobarto,4.0,0.007205779034785898
331,D2ve,4.0,0.007205779034785898
332,ForeverBadinek,4.0,0.007205779034785898
333,FireHawk92,4.0,0.007205779034785898
334,Zooked_,4.0,0.007205779034785898
335,addisonnnnn,4.0,0.007205779034785898
336,hhaii,4.0,0.007205779034785898
337,MelooC,4.0,0.007205779034785898
338,Bellabong5,4.0,0.007205779034785898
339,buruccum51,4.0,0.007205779034785898
340,ViBrAntDiVeRSiTy,4.0,0.007205779034785898
341,JustBenny_,4.0,0.007205779034785898
342,decollate,4.0,0.007205779034785898
343,KocarCze,4.0,0.007205779034785898
344,Autisims,4.0,0.007205779034785898
345,Egon25,4.0,0.007205779034785898
346,maggut,4.0,0.007205779034785898
347,mininis,4.0,0.007205779034785898
348,Vorxynator,4.0,0.007205779034785898
349,Ynonne,4.0,0.007205779034785898
350,DISTXRTIXN,4.0,0.007205779034785898
351,Slammer_12,4.0,0.007205779034785898
352,Fraesshair,4.0,0.007205779034785898
353,mcrcortex,4.0,0.007205779034785898
354,Bitbees,4.0,0.007205779034785898
355,Michalis02ru,4.0,0.007205779034785898
356,NameNet,4.0,0.007205779034785898
357,BuddieGamer002,4.0,0.007205779034785898
358,Sehhann,4.0,0.007205779034785898
359,blacko123457,4.0,0.007205779034785898
360,Silver_archer_14,4.0,0.007205779034785898
361,Shawneeboi,4.0,0.007205779034785898
362,SonnyIsMario,4.0,0.007205779034785898
363,KrispyDreams,4.0,0.007205779034785898
364,Speltz,4.0,0.007205779034785898
365,Chinpachi,4.0,0.007205779034785898
366,_starbyte,4.0,0.007205779034785898
367,Gayface123_2k19,4.0,0.007205779034785898
368,Supreme_Memes,4.0,0.007205779034785898
369,Jorgos70,4.0,0.007205779034785898
370,stringcheeese,4.0,0.007205779034785898
371,Allu71,4.0,0.007205779034785898
372,MajorTZDMS,4.0,0.007205779034785898
373,ADI1203,4.0,0.007205779034785898
374,Rovean,4.0,0.007205779034785898
375,MaccazBra01,4.0,0.007205779034785898
376,CookieBlock05,4.0,0.007205779034785898
377,Taejunkang,4.0,0.007205779034785898
378,StormTroopers,4.0,0.007205779034785898
379,PyroHuman,4.0,0.007205779034785898
380,Josh_brown1995,4.0,0.007205779034785898
381,Spryc1,4.0,0.007205779034785898
382,TheLlamaGuy06,4.0,0.007205779034785898
383,projacti__,4.0,0.007205779034785898
384,realdeep,4.0,0.007205779034785898
385,MinisterOJustice,4.0,0.007205779034785898
386,JtheRED,4.0,0.007205779034785898
387,DonatMargareeta,4.0,0.007205779034785898
388,Jamie_Jim_Bob,4.0,0.007205779034785898
389,Theophan,4.0,0.007205779034785898
390,RoyalMarina,4.0,0.007205779034785898
391,readysetbananas,4.0,0.007205779034785898
392,SandyMander,4.0,0.007205779034785898
393,MetViper,3.0,0.005404334276089423
394,eyelll,3.0,0.005404334276089423
395,THE_BIG_AFRO,3.0,0.005404334276089423
396,BOMBIRIBOM,3.0,0.005404334276089423
397,Flametris,3.0,0.005404334276089423
398,Gamer_2511,3.0,0.005404334276089423
399,AnarkyBOT,3.0,0.005404334276089423
400,THICCpizzaroll,3.0,0.005404334276089423
401,GhostlyLemon,3.0,0.005404334276089423
402,DrainSnake,3.0,0.005404334276089423
403,tazed656,3.0,0.005404334276089423
404,Lukavodka,3.0,0.005404334276089423
405,MCgamer201,3.0,0.005404334276089423
406,Slimrald_King,3.0,0.005404334276089423
407,KowalskiTheKing,3.0,0.005404334276089423
408,INNOCENTCHILD001,3.0,0.005404334276089423
409,Y_2,3.0,0.005404334276089423
410,DaveyWavey10,3.0,0.005404334276089423
411,Artem10261,3.0,0.005404334276089423
412,Ben10n,3.0,0.005404334276089423
413,Spicah,3.0,0.005404334276089423
414,St0rmCr0w316,3.0,0.005404334276089423
415,RipTrain,3.0,0.005404334276089423
416,KubaM1998,3.0,0.005404334276089423
417,BlackRainbow734,3.0,0.005404334276089423
418,Tedybjorn,3.0,0.005404334276089423
419,LapisTheCat,3.0,0.005404334276089423
420,ynkker,3.0,0.005404334276089423
421,michaelkahler01,3.0,0.005404334276089423
422,Maximus3131,3.0,0.005404334276089423
423,Gambanera,3.0,0.005404334276089423
424,SamTheEboi,3.0,0.005404334276089423
425,8chan_,3.0,0.005404334276089423
426,Kim_Jong_Nigg,3.0,0.005404334276089423
427,RoboCraftHD,3.0,0.005404334276089423
428,Aquaticur,3.0,0.005404334276089423
429,N_O_T_C_H,3.0,0.005404334276089423
430,Digga_Man,3.0,0.005404334276089423
431,Silau86,3.0,0.005404334276089423
432,pusssybaconn,3.0,0.005404334276089423
433,gubbestor,3.0,0.005404334276089423
434,ElectraRaichu,3.0,0.005404334276089423
435,MarkusVLA,3.0,0.005404334276089423
436,ImAnEPIcGAMeRREe,3.0,0.005404334276089423
437,ghostman1,3.0,0.005404334276089423
438,Gruigi__,3.0,0.005404334276089423
439,Distracted_Donut,3.0,0.005404334276089423
440,Malidudle,3.0,0.005404334276089423
441,jokker122,3.0,0.005404334276089423
442,DEXsta101,3.0,0.005404334276089423
443,LeanSuperSam420,3.0,0.005404334276089423
444,GnomeMeneer,3.0,0.005404334276089423
445,xRealFox,3.0,0.005404334276089423
446,xpitipitx,3.0,0.005404334276089423
