,name,afk_time,perc
3918,Fr0sT3DCoNs0LE,549199.0,0.0011522097273815837
3919,Dacaly,548945.0,0.0011516768399022642
3920,RajakenHD,548898.0,0.001151578234738768
3921,epic_bush_1,548880.0,0.001151540471059131
3922,Dr_Australia,548813.0,0.001151399906251594
3923,smolfgang,548720.0,0.0011512047939068037
3924,SubScribbleYT,548297.0,0.0011503173474353382
3925,pcranaway,548269.0,0.0011502586039336808
3926,TheS1mp7y,548177.0,0.0011500655895710927
3927,joew77k,548170.0,0.001150050903695678
3928,Tr3bla7,547403.0,0.0011484417513467089
3929,EnderAwesome7,547400.0,0.0011484354574001028
3930,yarob,547310.0,0.0011482466390019186
3931,Ace_Monkey_Ilium,547101.0,0.001147808160721691
3932,davedog32705,546859.0,0.0011473004490287957
3933,_TheButterlord_,546851.0,0.0011472836651711792
3934,GSKSlv,546699.0,0.0011469647718764682
3935,dlcdrummer,546267.0,0.0011460584435651843
3936,Thowe001,546215.0,0.001145949348490678
3937,RYANX71,546159.0,0.0011458318614873634
3938,franki7mg,546004.0,0.0011455066742460463
3939,Luketheplumber,545546.0,0.001144545798397509
3940,SupposedSanity,545512.0,0.0011444744670026394
3941,nnve,544835.0,0.0011430541330518542
3942,zEventPvP_,544433.0,0.0011422107442066315
3943,Jedi_Pumpkin,544420.0,0.001142183470438005
3944,BustyT_Rex,543948.0,0.001141193222838639
3945,StrategicNo,543475.0,0.001140200877257071
3946,Kedrunio,543466.0,0.0011401819954172528
3947,Luke_Minecraft,543353.0,0.0011399449234284216
3948,BattleB0t,543214.0,0.0011396533039023373
3949,Zalantry,543157.0,0.0011395337189168205
3950,Cinderby,542954.0,0.0011391078285298052
3951,FirezMC,542539.0,0.001138237165915956
3952,ALFAN00P,542254.0,0.0011376392409883727
3953,CaptainBoge,541969.0,0.0011370413160607896
3954,duszmo,541657.0,0.0011363867456137514
3955,JustHawkMc,541528.0,0.0011361161059096872
3956,Banana_Bob0770,540940.0,0.0011348824923748842
3957,kiwizzle,540928.0,0.0011348573165884596
3958,FreeGun06,540591.0,0.00113415029658637
3959,Obama_Cat,540471.0,0.0011338985387221244
3960,VanXodus,540358.0,0.001133661466733293
3961,Pharrell_Gordon,540219.0,0.0011333698472072089
3962,gabester119,540059.0,0.0011330341700548814
3963,Sirflossup,539712.0,0.0011323061702307711
3964,Basic___,538945.0,0.001130697017881802
3965,LongGiraffe01,538935.0,0.0011306760380597814
3966,BexLovesCats25,538808.0,0.0011304095943201215
3967,Simimo,538724.0,0.0011302333638151495
3968,Thoros,538539.0,0.0011298452371077711
3969,Darazzil,538531.0,0.0011298284532501547
3970,_MrDevilZ_,538169.0,0.001129068983693014
3971,DestinyRise,538061.0,0.001128842401615193
3972,xyz_omega,538017.0,0.001128750090398303
3973,Bl0ngus,537636.0,0.0011279507591793233
3974,WvIf,536941.0,0.0011264926615489012
3975,Wado,536881.0,0.0011263667826167784
3976,4thMonado,536265.0,0.001125074425580318
3977,runji,535930.0,0.0011243716015426324
3978,CatKing65,535850.0,0.0011242037629664687
3979,xmarteo,535557.0,0.0011235890541812692
3980,Stampy_II_YT,535557.0,0.0011235890541812692
3981,xOnurHsyn,535485.0,0.001123437999462722
3982,Wibs14,535148.0,0.0011227309794606323
3983,hacker1245,535021.0,0.0011224645357209725
3984,sWemPaa,534673.0,0.0011217344379146604
3985,Architect_TOTO,534665.0,0.001121717654057044
3986,IAmPronto,534426.0,0.001121216236310755
3987,Homer4204,534237.0,0.001120819717674568
3988,9VQ,534211.0,0.001120765170137315
3989,TheLlamaGuy06,534137.0,0.0011206099194543636
3990,ACatSnack,533700.0,0.0011196931012320693
3991,AuroMinerBot,533554.0,0.0011193867958305707
3992,faithgraham8,533524.0,0.0011193238563645092
3993,lmpedro,533496.0,0.0011192651128628518
3994,MrKankyFace,533494.0,0.001119260916898448
3995,PfeilImK0pf,532899.0,0.0011180126174882305
3996,MinecraftLOLboi,532785.0,0.0011177734475171972
3997,TheSharkGamer80,532746.0,0.0011176916262113173
3998,Levi04_LP,532468.0,0.0011171083871591484
3999,shkilis_alt,532444.0,0.0011170580355862993
4000,LeaderGamer,532419.0,0.0011170055860312482
4001,Flyntb,532290.0,0.0011167349463271842
4002,Artoo,531918.0,0.001115954496948023
4003,Megamiun,531715.0,0.0011155286065610075
4004,__Riley__J,531692.0,0.0011154803529703605
4005,DirtFaceBoy,531317.0,0.0011146936096445932
4006,Digimacska17,531224.0,0.001114498497299803
4007,fleetingimage434,530889.0,0.0011137956732621176
4008,eloxl,530888.0,0.0011137935752799154
4009,Egghead1997,530755.0,0.0011135145436470433
4010,Faldo,530732.0,0.0011134662900563962
4011,PracticeTyping,530630.0,0.0011132522958717875
4012,ElliottTheElite,530534.0,0.0011130508895803909
4013,ProVikis,530463.0,0.0011129019328440458
4014,Ybot76,530398.0,0.0011127655640009127
4015,chriscooley123,530224.0,0.0011124005150977567
4016,Mining_gibbon,530089.0,0.0011121172875004806
4017,ilgiocatore,530041.0,0.0011120165843547824
4018,HATTRmc,529576.0,0.001111041022630831
4019,camkatsu,529563.0,0.0011110137488622041
4020,Nufti,529322.0,0.001110508135151511
4021,HuntWolf,529030.0,0.0011098955243485135
4022,EightD_,528968.0,0.0011097654494519867
4023,XxXRahmanAkcaXxX,528884.0,0.0011095892189470148
4024,Spryc1,528721.0,0.001109247247848081
4025,quikmerc,528603.0,0.0011089996859482399
4026,Borisjohnsun,528190.0,0.0011081332192987947
4027,ChairmanWide,527352.0,0.00110637511021348
4028,KillZone96EN,527254.0,0.0011061695079576796
4029,2KEPPY,527233.0,0.0011061254503314365
4030,MajinKardo,527129.0,0.0011059072601824237
4031,UncagedBow7,526929.0,0.0011054876637420143
4032,Jayk_47,526801.0,0.0011052191220201524
4033,unluckilee,526461.0,0.0011045058080714567
4034,EchoKeks,526376.0,0.0011043274795842829
4035,Awesomelink24,526253.0,0.001104069427773431
4036,Jeekey,525729.0,0.001102970085099559
4037,MC_CM_LEL,525431.0,0.001102344886403349
4038,ManuThreeCubed,525349.0,0.0011021728518627815
4039,kaiferin,525291.0,0.0011020511688950626
4040,Misere,525269.0,0.0011020050132866178
4041,__TutZ__,525260.0,0.0011019861314467993
4042,I_Punch_Cows,525156.0,0.0011017679412977865
4043,spiritotem,524933.0,0.0011013000912667302
4044,Ok_B0omer_,524503.0,0.0011003979589198503
